date,stage_rel_m,storage_true_m3,area_m2,level_sim_m,level_obs_m,vol_p_minus_e_m3d,vol_qin_m3d,vol_qout_m3d,vol_gw_m3d,dS_m3d,qin_scaled_m3s,qout_policy_m3s,level_obs_m_asl,level_sim_m_asl
2009-10-23,-0.783373044268075,2700931031843.4097,57884483325.39114,10.928713243937196,11.04,-311595516.6671811,44703347.37455307,94641969.21658213,4500000.0,-366034138.5092101,517.399853872142,1095.39316222896,1133.8899999999999,1133.778713243937
2009-10-24,-0.7885769963096615,2700605066397.5513,57884482284.60074,10.92350929189561,11.04,-283059309.9564192,56039111.53015357,94445247.4320853,4500000.0,-325965445.858351,648.600827895296,1093.1162897232095,1133.8899999999999,1133.7735092918956
2009-10-25,-0.7944195719104996,2700239098812.633,57884481116.08562,10.917666716294772,11.03,-297290363.9609897,30043967.42137651,94221188.37881052,4500000.0,-365967584.9184237,347.73110441408,1090.5230136436403,1133.8799999999999,1133.7676667162946
2009-10-26,-0.793481311557718,2700297869618.317,57884481303.737686,10.918604976647552,11.02,10773858.912476586,146784507.38704687,94287560.61556098,4500000.0,58770805.683962494,1698.8947614241538,1091.2912108282521,1133.87,1133.7686049766476
2009-10-27,-0.7959810879357405,2700141288482.462,57884480803.78241,10.91610520026953,11.01,-163459192.69431034,105585106.51686189,94207049.67742096,4500000.0,-156581135.85486943,1222.0498439451608,1090.3593712664463,1133.86,1133.7661052002695
2009-10-28,-0.7930231195240984,2700326569877.146,57884481395.3761,10.919063168681172,11.01,99971897.0600033,184169877.793946,94360380.16995375,4500000.0,185281394.68399554,2131.595807800301,1092.134029744835,1133.86,1133.769063168681
2009-10-29,-0.7808078059146809,2701091713390.225,57884483838.43882,10.93127848229059,11.02,554092790.3451473,310461539.3793505,94910816.64536335,4500000.0,765143513.0791345,3593.3048539276674,1098.504822284298,1133.87,1133.7812784822904
2009-10-30,-0.7738364055971566,2701528388362.362,57884485232.71888,10.938249882608114,11.04,280408018.74337786,256004050.04888287,95237096.65570982,4500000.0,436674972.13655096,2963.009838528737,1102.2812112929378,1133.8899999999999,1133.788249882608
2009-10-31,-0.771994276625392,2701643775742.34,57884485601.14468,10.940092011579878,11.03,67268858.00121707,147961508.87464464,95342986.89764394,4500000.0,115387379.97821777,1712.5174638269057,1103.5067927968048,1133.8799999999999,1133.7900920115799
2009-11-01,-0.7748888620039729,2701462464537.7085,57884485022.2276,10.937197426201298,11.02,-131631620.9916522,50066116.21388525,95245699.85336968,4500000.0,-181311204.63113666,579.4689376607089,1102.380785339927,1133.87,1133.7871974262011
2009-11-02,-0.7827707818942323,2700968756388.456,57884483445.84362,10.929315506311038,11.03,-398209910.13945395,3936305.9860577667,94934545.09919761,4500000.0,-493708149.2525938,45.55909706085378,1098.779457166639,1133.8799999999999,1133.779315506311
2009-11-03,-0.786528690940623,2700733368266.503,57884482694.26181,10.925557597264648,11.01,-184354942.15512714,48266905.33710055,94800085.13525337,4500000.0,-235388121.95327997,558.644737697923,1097.223207583951,1133.86,1133.7755575972647
2009-11-04,-0.7923002469529188,2700371849210.6377,57884481539.95061,10.919786041252351,11.01,-287754779.9900374,25315501.279244762,94579777.1545928,4500000.0,-361519055.8653854,293.00348702829587,1094.673346696676,1133.86,1133.7697860412522
2009-11-05,-0.7855266613143751,2700796133455.589,57884482894.66774,10.926559626890896,11.03,341918653.23338616,181762809.59013724,94897217.8721957,4500000.0,424284244.9513277,2103.73622210807,1098.3474290763393,1133.8799999999999,1133.7765596268907
2009-11-06,-0.7785955842230804,2701230282659.173,57884484280.883156,10.93349070398219,11.02,379303047.7253456,154567650.18036884,95221494.3215071,4500000.0,434149203.58420736,1788.977432643158,1102.100628721147,1133.87,1133.7834907039821
2009-11-07,-0.7809346120028606,2701083770503.2153,57884483813.0776,10.93115167620241,11.04,-87785239.12748542,40921349.637398496,95148266.46750079,4500000.0,-146512155.95758772,473.62673191433447,1101.2530841145924,1133.8899999999999,1133.7811516762024
2009-11-08,-0.7718992962129155,2701649725130.853,57884485620.140755,10.940186991992356,11.08,470221207.0151809,195796639.42328456,95563218.80081066,4500000.0,565954627.6376548,2266.1648081398675,1106.055773157531,1133.9299999999998,1133.7901869919922
2009-11-09,-0.775065063629184,2701451427610.2227,57884484986.987274,10.937021224576087,11.04,-141183817.54493362,42839405.24034391,95453108.32582055,4500000.0,-198297520.63041025,495.8264495410175,1104.7813463636637,1133.8899999999999,1133.787021224576
2009-11-10,-0.7725225094308648,2701610688265.6343,57884485495.498116,10.939563778774406,11.04,139186754.03484264,120163247.17748347,95589345.80090038,4500000.0,159260655.4114257,1390.7783238134662,1106.3581689919026,1133.8899999999999,1133.7895637787742
2009-11-11,-0.7753922580797171,2701430932785.501,57884484921.548386,10.936694030125553,11.05,-113614260.26410747,33851745.86400732,95492965.7333646,4500000.0,-179755480.13346475,391.8026141667513,1105.2426589509791,1133.8999999999999,1133.7866940301255
2009-11-12,-0.7753117500101242,2701435975654.5728,57884484937.65,10.936774538195147,11.07,23164391.286465302,81901601.82432614,95523124.03907236,4500000.0,5042869.07171908,947.9352063000711,1105.5917134151894,1133.9199999999998,1133.786774538195
