scenario,case,water_level_m,water_level_m_asl,official_lake_surface_area_km2,total_flooded_area_km2,net_flooded_area_km2,flooded_area_km2
Observed,peak_year_level,13.470000000000027,1136.32,68800.0,69137.45775460785,337.4577546078508,337.4577546078508
Observed,mean_flood_season_level,11.801617349006847,1134.6516173490068,68800.0,68447.44809078932,0.0,0.0
Observed,mean_exceed_level,12.66882051282073,1135.5188205128206,68800.0,68821.25211055708,21.252110557077685,21.252110557077685
Agreed Curve,peak_year_level,10.260275503091862,1133.1102755030918,68800.0,67780.67090044437,0.0,0.0
Agreed Curve,mean_flood_season_level,10.981522880944112,1133.831522880944,68800.0,68099.25322700434,0.0,0.0
Agreed Curve,mean_exceed_level,,,68800.0,,,
Optimized,peak_year_level,12.695364961980658,1135.5453649619806,68800.0,68831.69797538574,31.69797538574494,31.69797538574494
Optimized,mean_flood_season_level,11.715740152667877,1134.5657401526678,68800.0,68414.5386513649,0.0,0.0
Optimized,mean_exceed_level,12.4959471454099,1135.3459471454098,68800.0,68754.54138467039,0.0,0.0
