flood_days,scenario,threshold_relative_m,threshold_m_asl,year
0,Observed,13.0,1135.85,2006
0,Observed,13.0,1135.85,2007
0,Observed,13.0,1135.85,2008
0,Observed,13.0,1135.85,2009
0,Observed,13.0,1135.85,2010
0,Observed,13.0,1135.85,2011
0,Observed,13.0,1135.85,2012
0,Observed,13.0,1135.85,2013
0,Observed,13.0,1135.85,2014
0,Observed,13.0,1135.85,2015
0,Observed,13.0,1135.85,2016
0,Observed,13.0,1135.85,2017
0,Observed,13.0,1135.85,2018
0,Observed,13.0,1135.85,2019
266,Observed,13.0,1135.85,2020
117,Observed,13.0,1135.85,2021
0,Baseline (Agreed Curve),13.0,1135.85,2001
0,Baseline (Agreed Curve),13.0,1135.85,2002
0,Baseline (Agreed Curve),13.0,1135.85,2003
0,Baseline (Agreed Curve),13.0,1135.85,2004
0,Baseline (Agreed Curve),13.0,1135.85,2005
0,Baseline (Agreed Curve),13.0,1135.85,2006
0,Baseline (Agreed Curve),13.0,1135.85,2007
0,Baseline (Agreed Curve),13.0,1135.85,2008
0,Baseline (Agreed Curve),13.0,1135.85,2009
0,Baseline (Agreed Curve),13.0,1135.85,2010
0,Baseline (Agreed Curve),13.0,1135.85,2011
0,Baseline (Agreed Curve),13.0,1135.85,2012
0,Baseline (Agreed Curve),13.0,1135.85,2013
0,Baseline (Agreed Curve),13.0,1135.85,2014
0,Baseline (Agreed Curve),13.0,1135.85,2015
0,Baseline (Agreed Curve),13.0,1135.85,2016
0,Baseline (Agreed Curve),13.0,1135.85,2017
0,Baseline (Agreed Curve),13.0,1135.85,2018
0,Baseline (Agreed Curve),13.0,1135.85,2019
0,Baseline (Agreed Curve),13.0,1135.85,2020
0,Baseline (Agreed Curve),13.0,1135.85,2021
0,Optimized Rule,13.0,1135.85,2001
0,Optimized Rule,13.0,1135.85,2002
0,Optimized Rule,13.0,1135.85,2003
0,Optimized Rule,13.0,1135.85,2004
0,Optimized Rule,13.0,1135.85,2005
0,Optimized Rule,13.0,1135.85,2006
0,Optimized Rule,13.0,1135.85,2007
0,Optimized Rule,13.0,1135.85,2008
0,Optimized Rule,13.0,1135.85,2009
0,Optimized Rule,13.0,1135.85,2010
0,Optimized Rule,13.0,1135.85,2011
0,Optimized Rule,13.0,1135.85,2012
0,Optimized Rule,13.0,1135.85,2013
0,Optimized Rule,13.0,1135.85,2014
0,Optimized Rule,13.0,1135.85,2015
0,Optimized Rule,13.0,1135.85,2016
0,Optimized Rule,13.0,1135.85,2017
0,Optimized Rule,13.0,1135.85,2018
0,Optimized Rule,13.0,1135.85,2019
0,Optimized Rule,13.0,1135.85,2020
0,Optimized Rule,13.0,1135.85,2021
