candidate_index,days_above_high_threshold,days_below_low_threshold,min_level_m,max_level_m,mean_level_m,mean_outflow_m3s,std_outflow_m3s,mean_abs_ramp_m3s_day,monthly_q_min_m3s,monthly_q_max_m3s,wet_minus_dry_mean_m3s,seasonal_spread_gap_m3s,natural_band_penalty_m3s,realized_monthly_target_rmse_m3s,realized_high_violation_m,realized_low_violation_m,realized_is_band_feasible,realized_is_guardrail_feasible,emergency_high_release_days,emergency_low_release_days,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,excess_low_days_vs_observed,selection_score
0,231,84,11.000068207407864,12.299041498592464,11.637113986977225,1072.1842876616531,202.87838588622944,3.7340253831800667,923.4584133130649,1219.4206676380968,266.9181214034851,181.81241858686803,95.38292196312875,97.4049494534535,0.14904149859246374,0.1499317925921364,False,True,1790,1726,0.08701791558364017,0.7869640062745035,674.7886245458227,0,0.42747856142305407
1,232,84,11.00019059409554,12.29983218963779,11.637523233188087,1072.1070533232103,203.0125393525282,3.7487121722016252,922.7931822181205,1219.8692895397096,268.05849182558813,182.95278900897108,96.94539686129872,97.78881689451511,0.14983218963778988,0.14980940590445968,False,True,1806,1731,0.16571349362315507,0.7877475494286136,675.444867199461,0,0.4309359596531885
2,312,175,11.00000900632244,12.349662007211112,11.584517741956638,1067.2396996098075,171.50956488313997,3.2568099694413672,957.5807528203222,1193.1322581204352,199.71082591518984,114.60512309857279,22.419247179677768,68.89969606944409,0.19966200721111171,0.14999099367756052,False,True,1487,543,0.062128199430857595,0.4313938103650248,688.425107719946,0,0.43116811193369003
3,312,174,11.000099472144319,12.349876496418284,11.584504673151255,1067.2187484024723,171.47348933463604,3.2557376124204698,957.5646161239526,1193.0917795597388,199.6924161665778,114.58671334996075,22.435383876047354,68.90091888710757,0.19987649641828398,0.14990052785568153,False,True,1487,546,0.062128199430857595,0.4313938103650248,688.4627987773994,0,0.43125765966885393
4,233,84,11.000054546095598,12.300488743956091,11.636149193891907,1072.0429213986765,201.9127581649222,3.7039262552875725,923.9254619597623,1218.7842398474515,265.6512214399212,180.54551862330413,93.6430177351408,96.81789040130886,0.1504887439560907,0.14994545390440273,False,True,1787,1721,0.05829106068439478,0.7846619332786287,672.3346714350679,0,0.4277890722367204
5,312,175,11.00000900632244,12.349662007211112,11.584517741956638,1067.2396996098075,171.50956488313997,3.2568099694413672,957.5807528203222,1193.1322581204352,199.71082591518984,114.60512309857279,22.419247179677768,68.89969606944409,0.19966200721111171,0.14999099367756052,False,True,1487,543,0.062128199430857595,0.4313938103650248,688.425107719946,0,0.43116811193369003
6,241,88,11.000395175569519,12.304330724319325,11.632358441987334,1071.6676385199123,200.60855469608407,3.73988060183991,926.5484155907218,1217.2192746211654,260.6655312166512,175.55982840003412,87.89013365160895,94.6032327419509,0.15433072431932437,0.1496048244304813,False,True,1776,1705,0.11762879939343411,0.7546270664726994,688.7049224983862,0,0.4330090307505625
7,241,83,11.002031624420399,12.304504133591207,11.635837298030413,1071.6506999817766,201.56295293060592,3.6570707054232843,925.1709596480048,1217.6806529759324,263.1049078501886,177.99920503357157,90.19034630386,95.65850313547357,0.15450413359120674,0.14796837557960174,False,True,1777,1721,0.0752291602510192,0.7728197776646143,684.4008828680903,0,0.43232507717145874
8,306,164,11.000107634371547,12.347400873322036,11.587040129238929,1067.4605661304497,172.66605248456182,3.424060889879675,953.5388291287679,1195.7053966726232,207.5311562993312,122.42545348271415,26.46117087123207,71.58237351775749,0.19740087332203515,0.1498923656284532,False,True,1542,742,0.08793622731453417,0.48095964673188624,683.7663590553681,0,0.4379350286344608
9,271,115,11.000511211509416,12.3250861377886,11.6152614450893,1069.6402592570105,186.8904379172985,3.583605195602986,938.3197314113207,1203.3530019593293,237.7419807803284,152.63627796371134,48.38627250733782,83.79282226740288,0.17508613778860038,0.14948878849058467,False,True,1740,1338,0.05893657550484609,0.6439637589291601,678.1665508208132,0,0.4343591671547698
10,307,166,11.000476486666082,12.34867143496452,11.58663071821902,1067.3364582522863,172.17050053639042,3.408607151891933,953.770155284384,1195.2467895886455,206.83477339965054,121.72907058303349,26.229844715615968,71.29449084593145,0.19867143496452044,0.1495235133339179,False,True,1538,720,0.08792460436543464,0.4773763089797377,683.5204053608878,0,0.438145649306276
11,262,101,11.000029197551171,12.3183622005725,11.622868849849329,1070.2970503586182,191.58128408358445,3.4867871728971354,932.826381285234,1207.574437677378,247.1587366643388,162.05303384772174,62.32249406952201,88.10862873012088,0.16836220057249918,0.14997080244882888,False,True,1773,1451,0.08682014065446043,0.6932972746563109,675.4061996049282,0,0.43268478004311933
12,238,85,11.000100313516505,12.30158573972816,11.635128142353912,1071.9357673550876,202.27123362814396,3.7218485261297585,924.7711505146201,1218.7207251937639,264.427803086984,179.32210027036695,92.67029987290766,96.29895240160846,0.15158573972816036,0.1498996864834954,False,True,1781,1728,0.11441957279355819,0.772404548388419,685.2256962802307,0,0.4324539719616859
13,266,106,11.000149480991622,12.322453465881416,11.619341628120734,1069.8974174407433,189.04862663828962,3.4919671977282154,935.1897797225145,1205.1747132648345,242.94380154104306,157.838098724426,55.15964680715456,86.14188970056347,0.17245346588141608,0.1498505190083783,False,True,1760,1393,0.08095281407088156,0.6712491094499731,675.4250979667489,0,0.4324553015265157
14,303,146,11.002172160847508,12.346450699153403,11.594683074639294,1067.5533787072197,174.0685226750065,3.4133186841688765,951.5088964960821,1194.977053768128,211.81316525334694,126.70746243672988,28.491103503917884,72.68971111802199,0.1964506991534023,0.14782783915249276,False,True,1642,895,0.1292123981999099,0.5133635148580544,684.2872793107293,0,0.4418020890155477
15,297,152,11.001079892279531,12.341795211728769,11.59258601466466,1068.0081245824022,175.2434410827107,3.5086384485070172,951.8874258408573,1197.4279639158926,211.89170173724017,126.78599892062311,28.112574159142696,72.99998511807894,0.19179521172876868,0.14892010772046937,False,True,1590,874,0.08095281407088156,0.5097985841824677,684.1403101348524,0,0.43444781113228575
16,307,166,11.000255330194912,12.348368639949214,11.586560094886789,1067.366035130411,172.2626275707439,3.4097197023051824,953.7666676532187,1195.3492728178405,206.89755990777815,121.79185709116109,26.233332346781253,71.33949655835029,0.19836863994921394,0.14974466980508794,False,True,1538,721,0.08803980740235307,0.4773763089797377,683.6323333764366,0,0.43815598616627155
17,306,146,11.004233942019104,12.347951464939008,11.596079599507476,1067.4067845939717,175.44869555128986,3.49629916786661,950.5856762756256,1196.9513754640404,213.50291399577975,128.3972111791627,29.414323724374412,73.79369562109112,0.19795146493900795,0.1457660579808966,False,True,1614,981,0.12835342907214742,0.521970701779537,688.6408660312363,0,0.4480292634868277
18,261,114,11.000848343261762,12.315366319626577,11.616223369444437,1070.5896866345843,191.6162079136625,3.9454723959850915,936.8704069671337,1210.6938744685463,241.5089211066869,156.40321829006984,64.5173419699588,86.11993295343302,0.16536631962657644,0.1491516567382387,False,True,1697,1383,0.055744962066542975,0.6543573033555496,688.8185714810081,0,0.43789487612763595
19,270,110,11.001436928324978,12.324929919742805,11.617547138684868,1069.6555185640138,187.79249820730075,3.529486300458452,937.2285589493912,1203.9320991054467,239.3957301543403,154.29002733772325,50.635639261502206,84.55878358291896,0.17492991974280514,0.14856307167502258,False,True,1755,1356,0.11266181046885729,0.6508331425183984,677.4447410441677,0,0.43402522454683334
20,267,111,11.000249597775303,12.322810443048803,11.617057781288503,1069.862548074839,188.2572347811945,3.555042923593003,937.195207233256,1204.6398290080922,239.83018091947872,154.72447810286167,52.08445078292834,84.80752718613753,0.1728104430488031,0.14975040222469715,False,True,1754,1357,0.11217203135740324,0.6508331425183984,678.2637509108795,0,0.4321294662886293
21,287,140,11.000926252423232,12.336086299292722,11.600051879693657,1068.5657685293268,178.06913886581583,3.639528464723241,948.446888566357,1197.2894685263439,220.31873137387345,135.2130285572564,31.55311143364304,76.1495905719261,0.1860862992927217,0.14907374757676806,False,True,1668,1082,0.06496170145760097,0.555874858722297,677.4766067378065,0,0.4361072393872366
22,308,155,11.002252373832404,12.349616189399525,11.590247493668613,1067.2441750726477,171.55587581793066,3.3770129786468597,953.8246283175538,1193.1349518488394,206.80447887310743,121.69877605649037,26.17537168244621,70.66656308619245,0.1996161893995243,0.14774762616759674,False,True,1583,736,0.10847838874518359,0.4846881639337571,683.9948729099865,0,0.43972573254818187
23,294,137,11.002435746092686,12.339665920555989,11.599896443514044,1068.2161127670347,177.96642227768882,3.5442504914007316,949.0645384606136,1198.5660188085776,218.45983507791902,133.35413226130197,30.935461539386438,75.54978310533583,0.18966592055598852,0.14756425390731387,False,True,1677,1064,0.10733698589039606,0.5460948340356814,684.4096928718692,0,0.440644963577125
24,283,139,11.001488644851051,12.333552339508946,11.6023419508171,1068.8132845581677,180.63869416343434,3.669320748788549,947.4385082604263,1200.772401164274,222.47443462157685,137.3687318049598,34.10629406812177,77.36376403661318,0.183552339508946,0.14851135514894942,False,True,1677,1133,0.08100597314832664,0.5641076856886343,683.6326314083387,0,0.43490144340040604
25,283,129,11.002806076592062,12.333589190035411,11.605707781806275,1068.809685015617,181.93896911029893,3.672046631596721,945.1864398178797,1201.6749568135583,225.86998426960497,140.76428145298792,38.16347380923696,78.80459156874453,0.18358919003541097,0.14719392340793824,False,True,1694,1195,0.08910996173707231,0.5813890378685495,683.550950874487,0,0.43901633305067983
26,254,99,11.001654263939072,12.31095965082552,11.626115253619497,1071.0201280208698,196.6336065293741,3.820780226978283,930.0940099605381,1214.6805116743435,253.13711388433364,168.0314110677166,79.26701338814894,91.25842733815927,0.16095965082551977,0.1483457360609286,False,True,1751,1605,0.10717739272055325,0.7170274626797251,692.4065946152682,0,0.441317727764864
