Q_dry_knot_1,Q_dry_knot_2,Q_dry_knot_3,Q_dry_knot_4,Q_wet_knot_1,Q_wet_knot_2,Q_wet_knot_3,Q_wet_knot_4,high_water_buffer_m,low_water_buffer_m,dry_protective_q_min_m3s,candidate_source
980.0110271141194,980.6566003095289,980.6566003095289,1141.4629061864252,995.0110271141194,995.6566003095289,995.6566003095289,1156.4629061864252,0.05829106068439478,0.7846619332786287,675.9330649976603,local_refinement
980.0110271141194,980.6566003095289,980.6566003095289,1141.4629061864252,1000.0110271141194,1005.6566003095289,1011.6566003095289,1176.4629061864252,0.05,0.8,650.0,local_refinement
980.0,980.0,980.0,1131.4629061864252,1000.0110271141194,1010.6566003095289,1019.6566003095289,1186.4629061864252,0.05,0.8,650.0,local_refinement
990.0110271141194,990.6566003095289,990.6566003095289,1151.4629061864252,1005.0110271141194,1005.6566003095289,1005.6566003095289,1166.4629061864252,0.10829106068439479,0.7346619332786286,695.9330649976603,local_refinement
980.0110271141194,980.6566003095289,980.6566003095289,1141.4629061864252,1000.0110271141194,1015.6566003095289,1027.656600309529,1196.4629061864252,0.05,0.8,650.0,local_refinement
980.0,980.0,980.0,1121.4629061864252,1000.0110271141194,1008.1566003095289,1015.6566003095289,1181.4629061864252,0.05,0.8,650.0,local_refinement
980.0,991.0060203431487,991.0060203431487,1163.7205042575806,995.0,1006.0060203431487,1006.0060203431487,1178.7205042575806,0.05403318695048982,0.8,676.7611048380226,local_refinement
1022.7886243000908,1022.7886243000908,1022.7886243000908,1107.6332794757752,1037.7886243000908,1037.7886243000908,1037.7886243000908,1200.0,0.05,0.8,699.3628519333488,local_refinement
980.0,988.3966171139057,988.3966171139057,1127.737506777009,1000.5446954596962,1032.9251158655893,1032.9251158655893,1200.0,0.07012755700147995,0.710938468390004,650.0,local_refinement
980.0,980.0,988.6347206237208,1179.0754139174082,1005.2364160304354,1056.751505548309,1056.751505548309,1194.0754139174082,0.05,0.8,650.0,local_refinement
985.2009508184289,989.16300474541,989.16300474541,1125.5900312010338,1014.8747781495949,1023.190520121875,1023.190520121875,1193.1637317222142,0.0736390086266346,0.7108659628551093,690.6710826326839,local_refinement
980.0,1004.5155274614459,1004.5155274614459,1144.1447737038486,1033.4556738864949,1046.3454219002754,1046.3454219002754,1174.0079272870557,0.07500241610056045,0.717763131215931,651.6189454027995,local_refinement
980.0,1009.9828467719677,1009.9828467719677,1135.7913031779178,1029.8134402355747,1029.8134402355747,1029.8134402355747,1150.7913031779178,0.05,0.8,670.3807634763874,local_refinement
984.6279912950239,993.7276063094774,993.7276063094774,1154.6942444360047,1014.7349153320017,1014.7349153320017,1014.7349153320017,1176.1510357354348,0.05,0.7314425072686,650.0,local_refinement
980.0,986.700473756223,1016.481099047325,1170.7220178558669,1003.4013682293855,1035.613595636805,1035.613595636805,1185.7220178558669,0.10442560566443622,0.7763582674969203,729.6526315552718,local_refinement
1007.7995061981057,1010.3647266658943,1010.3647266658943,1117.7235985398067,1022.7995061981057,1025.3647266658943,1025.3647266658943,1132.7235985398067,0.10867544320457347,0.8,656.3368422082749,local_refinement
992.393170979029,992.393170979029,992.393170979029,1146.9140094760032,1010.2842633733832,1013.3432456939826,1017.004271910173,1186.904900567738,0.05,0.8,650.859009488793,local_refinement
980.0,984.4855629952795,985.7822063014947,1152.342104919276,995.0,999.4855629952795,1012.2908043827008,1167.342104919276,0.05,0.6205601883056121,650.0,local_refinement
