scenario,days_above_high_flood_threshold,days_below_low_water_threshold,max_level_m_asl,min_level_m_asl,mean_level_m_asl
Observed,1170,1113,1136.32,1133.26,1134.5453220156292
Optimized,502,208,1135.564005335909,1133.8556012806414,1134.5117945876934
