tributary,overlap_months,trainable_regression
Nzoia,0,False
Yala,0,False
Nyando,0,False
Katonga,96,True
Rwizi,119,True
Mbalangeti,144,True
Grumeti,180,True
Kagera,192,True
Sio_Malaba,204,True
Simiyu,216,True
Magogo,220,True
Awach,220,True
Mori,220,True
Migori,220,True
Sondu,220,True
