scenario,mean_outflow_m3s,std_outflow_m3s,coefficient_variation,cv_outflow,mean_abs_ramp_m3s_day,p95_abs_ramp_m3s_day,power_metric_status,power_flow_col_used
Baseline (Agreed Curve),1338.76057780164,315.8373619665652,0.2359177340620511,0.2359177340620511,2.8255240090034155,7.94298699143792,ok,scenarios[outflow]
Optimized Rule,974.3847455159466,3.6933326841322702,0.003790425395234008,0.003790425395234008,0.12845863555768325,0.6687320998428277,ok,scenarios[outflow]
Observed,1025.456590896739,322.5046665760377,0.3144986042695523,0.3144986042695523,42.03681179508085,131.20169999999973,ok,scenarios[outflow]
