scenario,max_level_m_asl,mean_level_m_asl,std_level_m,days_above_11_5,days_above_12_15,days_above_13_0,days_above_11_15,mean_outflow_m3s,std_outflow_m3s,coefficient_variation,cv_outflow,mean_abs_ramp_m3s_day,p95_abs_ramp_m3s_day,power_metric_status,power_flow_col_used
Baseline (Agreed Curve),1134.898807008101,1133.754923256098,0.7366343768404178,1920,0,0,3383,1281.8207845802572,247.11416079952596,0.19278370562577946,0.19278370562577946,1.6592032297608479,5.711167536380799,ok,scenarios[outflow]
Optimized Rule,1135.564005335909,1134.5117945876934,0.31319817206247486,5189,502,0,7214,1031.650810461753,119.74025982958908,0.11606665609654777,0.11606665609654777,2.3771821848702492,9.377471050805752,ok,scenarios[outflow]
Observed,1136.32,1134.5453220156292,0.5857500406696967,4536,1170,383,6224,1025.456590896739,322.50466657603783,0.3144986042695524,0.3144986042695524,42.03681179508085,131.20169999999973,ok,scenarios[outflow]
